City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
339,Cayenne,GF,73.4,few clouds,4.93,-52.33,Hôtel Le Dronmi
340,Bama,NG,71.02,overcast clouds,11.52,13.69,UN Humanitarian Hub
344,Morgan City,US,77.0,clear sky,29.7,-91.21,Hampton Inn & Suites Morgan City
346,Yeppoon,AU,77.0,clear sky,-23.13,150.73,Villa Mar Colina
347,El Roble,CO,74.73,light rain,9.1,-75.2,Hotel los Robles
354,Bambous Virieux,MU,73.0,shower rain,-20.34,57.76,Casa Tia Villa
356,Charters Towers,AU,76.84,clear sky,-20.1,146.27,Cattleman's Rest Motor Inn
357,General Teran,MX,76.15,moderate rain,25.27,-99.68,OYO Hotel Garate
359,Benguela,AO,67.35,broken clouds,-12.58,13.41,Hotel Praia Morena
360,Perth,AU,68.0,scattered clouds,-31.93,115.83,Parmelia Hilton Perth
362,Mahon,ES,75.2,clear sky,39.89,4.27,ARTIEM Capri
364,Farafenni,GM,75.43,overcast clouds,13.57,-15.6,Eddy's Hotel
369,Fushun,CN,73.4,light rain,41.86,123.92,Love Theme Apartment Xinhua Branch
372,Anloga,GH,73.4,few clouds,5.79,0.9,Dey Lodge
378,Salgueiro,BR,69.17,overcast clouds,-8.07,-39.12,Hotel Polo
380,Muisne,EC,72.82,overcast clouds,0.6,-80.03,Quinta Samay
389,Wajir,KE,75.2,broken clouds,1.75,40.06,Al- Amin lodge
398,Carutapera,BR,75.94,few clouds,-1.2,-46.02,Lidera
409,Neyshabur,IR,74.57,clear sky,36.21,58.8,Amiran Hotel
422,Trairi,BR,76.37,scattered clouds,-3.28,-39.27,Pousada Field Lilies - Trairi
427,Aquiraz,BR,78.8,broken clouds,-3.9,-38.39,Hotel Laguna Blu
428,Quatre Cocos,MU,73.0,shower rain,-20.21,57.76,Veranda Palmar Beach Hotel
433,Nisia Floresta,BR,73.4,few clouds,-6.09,-35.21,Rancho Crepusculo
434,Bougouni,ML,71.44,overcast clouds,11.42,-7.48,Non Stop
439,Sao Jose Da Coroa Grande,BR,72.23,overcast clouds,-8.9,-35.15,Crôa Mares Hotel
444,Cap-Aux-Meules,CA,67.6,light rain,47.38,-61.86,Auberge Madeli
449,Joshimath,IN,75.76,few clouds,30.57,79.57,Shivalik Camps & Resort
450,Tukrah,LY,76.55,clear sky,32.53,20.58,استراحة لاقروتا
451,Eyl,SO,78.94,broken clouds,7.98,49.82,Amiin Hotel
463,Rondonopolis,BR,70.09,clear sky,-16.47,-54.64,Serras Hotel
466,Mahebourg,MU,71.6,shower rain,-20.41,57.7,Le Peninsula Bay Beach Resort & Spa
468,Carnarvon,AU,69.8,clear sky,-24.87,113.63,Hospitality Carnarvon
470,Grand Gaube,MU,73.0,broken clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
474,Sturgis,US,70.0,clear sky,41.8,-85.42,Best Western Plus Howe Inn
480,Nanga Eboko,CM,67.35,moderate rain,4.68,12.37,Akila Hotel
481,Monticello,US,73.99,clear sky,45.31,-93.79,Super 8 by Wyndham Monticello
484,Cuiluan,CN,68.65,light rain,47.72,128.65,Shuncheng Hotel
485,Neiafu,TO,78.8,few clouds,-18.65,-173.98,Mystic Sands
486,Libreville,GA,75.2,light intensity drizzle,0.39,9.45,Hotel Re-Ndama
490,Baykit,RU,66.94,light rain,61.67,96.37,Gostinitsa
493,Rosarito,MX,78.01,clear sky,32.33,-117.03,Hotel Festival Plaza Rosarito
497,Bismil,TR,68.0,clear sky,37.85,40.67,Dostlar Otomotiv
498,Mogadishu,SO,76.26,few clouds,2.04,45.34,Hotel Juba
500,Nautla,MX,77.41,clear sky,20.22,-96.78,Casa Blanca
503,Nouadhibou,MR,75.2,scattered clouds,20.93,-17.03,El Medina
504,Borba,BR,74.79,clear sky,-4.39,-59.59,Hotel da Amazônia
505,Acarau,BR,76.26,scattered clouds,-2.89,-40.12,castelo pizzaria
506,Williamsport,US,75.2,clear sky,41.24,-77.0,Hampton Inn Williamsport-Downtown
511,Faanui,PF,77.22,few clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
514,Hailar,CN,74.07,few clouds,49.2,119.7,Holiday Inn & Suites Hulunbuir
517,Filadelfia,US,73.4,broken clouds,39.95,-75.16,Loews Philadelphia Hotel
518,Mastic Beach,US,75.2,overcast clouds,40.77,-72.85,Brushwood House by Smith Point Beach
524,Acapulco,MX,79.56,moderate rain,16.86,-99.89,HS Hotsson Smart Acapulco
526,Beyneu,KZ,68.9,overcast clouds,45.32,55.2,NUR
534,Fare,PF,77.95,few clouds,-16.7,-151.02,Maitai Lapita Village Huahine
535,Chamrajnagar,IN,78.8,scattered clouds,11.92,76.95,Nijaguna Resort - Near BR Hills & K gudi Wildlife
536,Ballina,AU,68.0,clear sky,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
537,Holetown,BB,77.0,broken clouds,13.19,-59.64,The Palms Resort
539,Peniche,PT,68.0,broken clouds,39.36,-9.38,Hotel Star inn Peniche
548,Nemuro,JP,69.8,broken clouds,43.32,145.57,Hotel Nemuro Kaiyoutei
553,San Ramon,US,77.0,haze,37.78,-121.98,San Ramon Marriott
554,Khash,IR,79.88,clear sky,28.22,61.22,دفتر پیشخوان دولت جمال زهی (خالد)
555,Aldama,MX,79.0,light rain,22.92,-98.07,CASA CANYE
558,Fuerte Olimpo,PY,65.52,clear sky,-21.04,-57.87,Hotel Fuerte Olimpo
563,Coari,BR,74.07,clear sky,-4.08,-63.14,HOTEL ALEX FLAT
566,Manono,CD,75.52,broken clouds,-7.3,27.42,Hotel hewa bora
577,North Branch,US,71.01,clear sky,45.51,-92.98,AmericInn by Wyndham North Branch
580,Sambava,MG,69.85,scattered clouds,-14.27,50.17,Melrose
581,Vogan,TG,73.4,few clouds,6.33,1.53,Hotel Sitsope Phenix
582,Romanovskaya,RU,66.27,clear sky,47.54,42.03,Donskaya Volna
587,Dryden,CA,66.2,scattered clouds,49.78,-92.75,Holiday Inn Express Dryden
589,Grand-Santi,GF,71.38,light rain,4.25,-54.38,Hotel La Villa Couacou
590,Kokopo,PG,75.72,light rain,-4.35,152.26,Kokopo Beach Bungalow Resort
592,Nizip,TR,68.0,clear sky,37.01,37.79,gümüş apart
595,Billings,US,78.8,few clouds,45.78,-108.5,Best Western Plus Clocktower Inn
604,Jumla,NP,73.67,broken clouds,29.27,82.18,Hotel Sundar Rara Karnali
605,Port-Gentil,GA,74.79,overcast clouds,-0.72,8.78,Fengshui Residence
608,Bonthe,SL,76.03,moderate rain,7.53,-12.51,Bonthe Holiday Village
609,Vanimo,PG,78.28,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
612,Wukari,NG,71.22,light rain,7.85,9.78,Elimtop
618,Itarema,BR,76.78,scattered clouds,-2.92,-39.92,Windvillage
624,Kyzyl-Suu,KG,73.54,clear sky,42.34,78.0,Gostinitsa Nur-Ordo
625,Presidencia Roque Saenz Pena,AR,66.25,overcast clouds,-26.79,-60.44,Hotel Aconcagua
627,Sayyan,YE,66.99,overcast clouds,15.17,44.32,الاستاذة مروى اليوسفي
631,Goderich,CA,78.01,clear sky,43.75,-81.72,Harmony Inn
632,Tutoia,BR,78.98,broken clouds,-2.76,-42.27,Pousada Guará's
637,Alanya,TR,66.2,clear sky,36.54,32.0,Panorama Hotel
638,Kousseri,CM,75.2,few clouds,12.08,15.03,Résidence le Palmier
639,Thunder Bay,CA,66.99,broken clouds,48.4,-89.32,Victoria Inn Hotel and Convention Centre
646,Bamako,ML,75.2,few clouds,12.65,-8.0,Hôtel l’Amitié Bamako
653,Wamba,NG,69.39,overcast clouds,8.93,8.6,Roma Zee Guest House Annex
655,Tomatlan,MX,78.17,light rain,19.93,-105.25,Norma franco
660,Asyut,EG,73.4,clear sky,27.18,31.18,Florence Hotel Assiut
663,Namatanai,PG,75.81,moderate rain,-3.67,152.43,Namatanai Hotel
666,Lorengau,PG,75.85,moderate rain,-2.02,147.27,Lorengau Harbourside Hotel
671,Cururupu,BR,75.09,broken clouds,-1.83,-44.87,Pousada Través'cia
673,Parelhas,BR,69.78,scattered clouds,-6.69,-36.66,CEMITERIO SAO JUDAS TADEU
674,Caucaia,BR,79.0,broken clouds,-3.74,-38.65,M.O.S. Logística - Filial Fortaleza
679,Laurel,US,75.2,clear sky,39.1,-76.85,Days Inn & Suites by Wyndham Laurel Near Fort Meade
685,Los Llanos De Aridane,ES,78.01,clear sky,28.66,-17.92,Valle Aridane
689,Chifeng,CN,77.0,overcast clouds,42.27,118.96,Junyu Tiancheng Hotel
695,Mozarlandia,BR,74.8,clear sky,-14.74,-50.57,Hotel Santa Mônica
703,El Prat De Llobregat,ES,77.0,broken clouds,41.33,2.09,Hotel Porta Fira
704,Yenagoa,NG,73.63,overcast clouds,4.92,6.26,Amba Hotels Limited
